mbti,song,singer
ISTP,When The Sun Goes Down,Arctic Monkeys
ISTP,Bisexual,GRLwood
ISTP,Burning Pile,Mother Mother
ISTP,The Sharpest Lives,My Chemical Romance
ISTP,うっせぇわ,Ado
ISTP,Knee Socks,Arctic Monkeys
ISTP,OHMAMI,Chase Atlantic
ISTP,all the good girls go to hell,Billie Eilish
ISTP,A Little Death,The Neighbourhood
ISTP,Where Is My Mind? - Remastered,Pixies
ISTP,Bad Reputation,Joan Jett & the Blackhearts
ISTP,Wrong Way,Sublime
ISTP,Crazy,Dorcci
ISTP,The Only Heartbreaker,Mitski
ISTP,Leave Me Alone,I DONT KNOW HOW BUT THEY FOUND ME
ISTP,Static,Steve Lacy
ISTP,Beggin',Måneskin
ISTP,THANXX,ATEEZ
ISTP,"Me, Myself & I","G-Eazy, Bebe Rexha"
ISTP,(I Just) Died In Your Arms,Cutting Crew
ISTP,13,LANY
ISTP,scared,Jeremy Zucker
ISTP,Lost Stars,애덤 리바인
ISTP,Palm Springs (the way you made me feel),Virginia To Vegas
ISTP,Guitarrada,O Grilo
ISTP,I'm so crazy for youuu </3,Rebzyyx
ISTP,Go Solo,Tom Rosenthal
ISTP,nightmares,skyfall beats
ISTP,Kisame,rhodessa
ISTP,IT GIRL,Aliyah's Interlude
ISTP,Let Me In (20 CUBE),ENHYPEN
ISTP,Run BTS,방탄소년단
ISTP,Bad Motherfucker,Biting Elbows
ISTP,LIE DOWN!,"NUEKI, TOLCHONOV"
ISTP,Pervert,Descendents
ISTP,HA HA HA,MONOWIRE
ISTP,Fundament,"$a!nt, Volgelvrij"
ISTP,Tell Me Why,#R!sK
ISTP,Animal,Sir Chloe
ISTP,RED DOT,"Lil Annex, Cxrpse"
ISTP,Come Inside Of My Heart,IV Of Spades
ISTP,Nahuhulog,Jed Baruelo
ISTP,Buwan,juan karlos
ISTP,Isip,Healy After Dark
ISTP,Partners in Crime (feat. Ash Costello),"Set It Off, Ash Costello"
ISTP,From the Start,Good Kid
ISTP,Washing Machine Heart,Mitski
ISTP,TERRIBLE THINGS,Axie
ISTP,Luna - En Vivo,Zoé
ISTP,Happily Ever After,투모로우바이투게더
ISTP,NEON BLADE,MoonDeity
ISTP,Let The Light In (feat. Father John Misty),"Lana Del Rey, Father John Misty"
ISTP,Pumped Up Kicks,Foster The People
ISTP,Leak,Young Sudden
ISTP,OOH,Tohi
ISTP,Don't Tell Me,Avril Lavigne
ISTP,Pretty Savage,BLACKPINK
ISTP,Dreams Come True,aespa
ISTP,MY BAG,(여자)아이들
ISTP,How You Like That,BLACKPINK
ISTP,Beige,Yoke Lore
ISTP,Heaven or Las Vegas,Cocteau Twins
ISTP,Loser,Beck
ISTP,Everlong,Foo Fighters
ISTP,hideous,mehro
ISTP,Ain't Shit,Doja Cat
ISTP,I Don't Miss You at All,FINNEAS
ISTP,Mind Over Matter (Reprise),Young the Giant
ISTP,Woman,Doja Cat
ISTP,People I Don't Like,UPSAHL
ISTP,Feel Good Inc.,Gorillaz
ISTP,Sweet but Psycho,Ava Max
ISTP,Perfect Night,LE SSERAFIM
ISTP,Blockbuster feat. YEONJUN of TOMORROW X TOGETHER,"ENHYPEN, YEONJUN"
ISTP,FAKE LOVE,방탄소년단
ISTP,Tally,BLACKPINK
ISTP,Little Pistol,Mother Mother
ISTP,Void,The Neighbourhood
ISTP,Rise,Katy Perry
ISTP,Arsonist's Lullabye,Hozier
ISTP,Stan Smith,"Alcemist, Coco"
ISTP,Money Moves (feat. Mr Traumatik),"Grima x Azza, Mr Traumatik, Nu Elementz, TNA"
ISTP,Atlantis - Extra Sped Up Version,"Seafret, sped up + slowed"
ISTP,Duvet,bôa
ISTP,Bizarre Love Triangle,New Order
ISTP,We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe"
ISTP,30/90,"Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp,"
ISTP,Heart-Shaped Box,Nirvana
ISTP,"EYES, NOSE, LIPS - JPN",태양
ISTP,0.03mm,とくみくす(TOKUMIX)
ISTP,Bodega,99 God
ISTP,まつり,Fujii Kaze
ISTP,날 쏘고 가라,세븐틴
ISTP,オレンジ,TREASURE
ISTP,N/S,Stray Kids
ISTP,SPASA,MARIA
ISTP,FINISH HIM,alt!
ISTP,WDYM?,Armanibanz!
ISTP,Mary On A Cross,Ghost
ISTP,LET ME SEE YA MOVE!,"Lumi Athena, cade clair"
INTP,if god exists its fucking me,"skeletral, outer streets"
INTP,Formula,Labrinth
INTP,Shinunoga E-Wa,Fujii Kaze
INTP,masquerade,siouxxie sixxsta
INTP,Overreaction,HappyHappy
INTP,Prom Queen,Beach Bunny
INTP,Seven,Sleeping At Last
INTP,idfc,blackbear
INTP,O Green World,Gorillaz
INTP,Mind Over Matter (Reprise),Young the Giant
INTP,4am,girl in red
INTP,Softcore,The Neighbourhood
INTP,悪いことはしちゃいけないよ,Kikuo
INTP,Tear You Apart,She Wants Revenge
INTP,ghouls! zombies! skeletons!,STEFAN THEV
INTP,Paparazzi,Kim Dracula
INTP,i was all over her,salvia palth
INTP,#BrooklynBloodPop!,SyKo
INTP,愛して 愛して 愛して,Kikuo
INTP,Nobody,Mitski
INTP,Sweetie Little Jean,Cage The Elephant
INTP,Black Madonna,Cage The Elephant
INTP,Reckless Abandon,blink-182
INTP,Gutter Girl,Hot Flash Heat Wave
INTP,The Bidding,Tally Hall
INTP,Something For Your M.I.N.D.,Superorganism
INTP,My Ordinary Life,The Living Tombstone
INTP,"Genius (feat. Sia, Diplo, and Labrinth)","Sia, Diplo, Labrinth, LSD"
INTP,So Devilish,Tryhardninja
INTP,Locked out of Heaven,Bruno Mars
INTP,Bad Habit - Sped Up,Steve Lacy
INTP,Hayloft II,Mother Mother
INTP,The Beach,The Neighbourhood
INTP,Stressed Out,Twenty One Pilots
INTP,Fitzpleasure,alt-J
INTP,Wet Hands,C418
INTP,Where Is My Mind?,Pixies
INTP,Eighth Wonder,Lemon Demon
INTP,All Eyes On Me,Bo Burnham
INTP,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber"
INTP,I Need Control,Will Jay
INTP,"Left Brain, Right Brain",Bo Burnham
INTP,Are You Satisfied?,MARINA
INTP,Movin' Out (Anthony's Song),Billy Joel
INTP,Bezos I,Bo Burnham
INTP,Riders in the Sky,Lawrence Welk
INTP,RISE,"League of Legends, Mako, The Word Alive, The Glitch Mob"
INTP,Run Boy Run,Woodkid
INTP,Young,Vacations
INTP,Heaven Knows I'm Miserable Now - 2011 Remaster,The Smiths
INTP,drowning,Vague003
INTP,Cherry Waves,Deftones
INTP,Infinity,Jaymes Young
INTP,Sweater Weather,The Neighbourhood
INTP,It's You,Sezairi
INTP,Radio,Lana Del Rey
INTP,Strangers,Kenya Grace
INTP,Ya,미란이
INTP,Foot on the Gas,"SOULBYSEL, 지셀"
INTP,Groupie,"pH-1, Mokyo"
INTP,Starman - 2012 Remaster,David Bowie
INTP,二十歳の恋,Lamp
INTP,Freaks,Surf Curse
INTP,Kids,Current Joys
INTP,Slow Dance With You,"Hector Chavez, Hurasmi"
INTP,Cha Cha,Freddie Dredd
INTP,Personal,Kehlani
INTP,Antes de Morirme (feat. ROSALÍA),"C. Tangana, ROSALÍA"
INTP,Dark Paradise,Lana Del Rey
INTP,Black Out Days,Phantogram
INTP,Goth,Sidewalks and Skeletons
INTP,Hymn for the Weekend,Coldplay
INTP,Baby I Got Issues,@fallacy
INTP,Goodbyes (feat. Young Thug),"Post Malone, Young Thug"
